Regione/PA,Nuovi positivi,Casi totali,Totale Positivi (Totale attualmente positivi),Totale Positivi (per 100.000 ab),Totale Ospedalizzati,Totale Ospedalizzati COVID-19 / Totale Positivi,Pz attualmente ricoverati con sintomi in AREA NON CRITICA,Pz attualmente ricoverati in AREA NON CRITICA (per 100.000 ab),Var % giornaliera pz attualmente in AREA NON CRITICA,Pz attualmente ricoverati in TERAPIA INTENSIVA,Pz attualmente ricoverati in TERAPIA INTENSIVA (per 100.000 ab),Var % giornaliera pz attualmente pos in TERAPAPIA INTENSIVA,fonte
Abruzzo,78,76.984,1.804,139,54,3%,53,4,820%,1,008,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Basilicata,49,27.808,940,170,25,3%,24,4,000%,1,018,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Calabria,212,72.467,2.987,158,93,3%,89,5,230%,4,021,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Campania,364,435.345,8.397,147,286,3%,270,5,340%,16,028,-590%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Emilia-Romagna,463,400.155,11.333,254,344,3%,313,7,230%,31,069,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Friuli Venezia Giulia,75,108.790,864,72,30,3%,27,2,380%,3,025,20000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Lazio,703,364.145,15.670,272,504,3%,441,8,070%,63,109,160%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Liguria,106,106.568,1.588,104,68,4%,54,4,590%,14,092,-670%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Lombardia,525,858.785,13.401,134,318,2%,283,3,290%,35,035,-540%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Marche,146,107.067,2.851,188,53,2%,47,3,-410%,6,040,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Molise,2,14.003,154,51,5,3%,4,1,000%,1,033,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
P.A. Bolzano,45,74.023,380,71,13,3%,11,2,2220%,2,038,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
P.A. Trento,41,46.680,377,69,14,4%,14,3,-1250%,0,000,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Piemonte,147,367.615,3.133,73,109,3%,105,2,290%,4,009,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Puglia,316,258.216,3.652,92,133,4%,113,3,560%,20,051,2500%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Sardegna,251,65.077,6.656,413,141,2%,119,7,920%,22,137,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Sicilia,848,250.409,15.197,312,498,3%,448,9,140%,50,103,-380%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Toscana,511,258.099,11.040,299,292,3%,262,7,360%,30,081,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Umbria,142,59.427,2.129,245,31,1%,30,3,340%,1,011,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Valle d'Aosta,8,11.860,125,100,3,2%,3,2,000%,0,000,000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Veneto,604,442.718,13.645,280,188,1%,170,3,1640%,18,037,-1000%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Italia,5.636,4.406.241,116.323,195,3.202,3%,2.880,5,340%,322,054,-030%,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
