Regioni,Ricoverati in Area Non Critica,PL in Area Non Critica,Ricoverati in Terapia intensiva,PL in Terapia Intensiva,PL Terapia Intensiva attivabili,fonte
Abruzzo,53,1324,1,177,23,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Basilicata,24,346,1,88,13,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Calabria,89,778,4,169,2,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Campania,270,3832,16,548,195,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Emilia-Romagna,313,6538,31,760,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Friuli Venezia Giulia,27,1277,3,175,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Lazio,441,6421,63,943,243,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Liguria,54,1675,14,214,12,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Lombardia,283,6369,35,1416,114,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Marche,47,951,6,209,61,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Molise,4,176,1,39,26,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
P.A. Bolzano,11,391,2,100,20,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
P.A. Trento,14,517,0,90,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Piemonte,105,5824,4,628,99,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Puglia,113,2731,20,464,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Sardegna,119,1602,22,204,16,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Sicilia,448,3167,50,730,196,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Toscana,262,5033,30,570,37,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Umbria,30,684,1,91,36,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Valle d'Aosta,3,83,0,33,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Veneto,170,6000,18,1000,0,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
Italia,2880,55719,322,8648,1093,Dati della Protezione Civile del 10 Agosto 2021 ore 18:08
